TEXT,RESULT
"Jika Felda 1.0, kita menempa jaya, maka dengan Felda 2.0 ini, kita akan bersama melakar masa depan gemilang untuk berjaya dan terus berjaya, sampai ke puncaknya",Positive
"Kepada warga peneroka dan generasi baharu Felda, ayuhlah kita bersatu dan berpadu kerana sesungguhnya Felda ini benteng kita, Felda ini legasi kita dan semestinya Felda inilah maruah dan tanggungjawab kita bersama",Positive
"Pastikan pilihan raya akan datang, semua rakan Felda menggambarkan kekuatan, menterjemahkan impian Tun (Abdul) Razak menjadi kenyataan kita bersama",Positive
Kami mohon geran padanan sebagai usaha membawa pembangunan seimbang untuk peneroka Felda,Positive
"Inisiatif Felda 2.0 adalah usaha kita untuk merapatkan jurang pendapatan antara luar bandar dengan bandar selain menjadikan komuniti Felda sebagai komuniti pintar dan lestari,",Positive
Saya kagum dengan keindahan semula jadi yang ada di Felda Lurah Bilut ini di mana ada dua sungai mengalir. Kita akan rawat air Sungai Bilut dan Sungai Kertau (boleh diminum) untuk kegunaan peneroka,Positive
Tun Abdul Razak bawa kemajuan dan pembangunan kepada rakyat khususnya peneroka,Positive
"Sejarah pembukaan Felda Lurah Bilut pada 60 tahun lepas tidak hanya kekal dalam buku sebaliknya, sejarah boleh mengajar kita untuk mengulangi pencapaian kita",Positive
Semua pihak diseru supaya meneliti terlebih dahulu sejarah pengurusan hal ehwal Islam di negara ini selain melihat sumbangan Jakim kepada seluruh masyarakat Islam,Positive
Fungsi Jakim selama ini adalah signifikan dalam membantu Yang di-Pertuan Agong sebagai ketua agama bagi persekutuan dan turut bekerjasama dengan setiap sultan yang merupakan ketua agama bagi negeri masing-masing,Neutral
JKM akan pastikan baki 32 PDK yang masih belum didaftar akan diselesaikan dalam tempoh tiga bulan ini,Positive
"Dalam konteks ini, sewajarnya kerajaan terus memberikan dan menambah peruntukan untuk Jakim bagi memartabatkan Islam sebagai agama Persekutuan kerana penubuhannya adalah menepati semangat Perkara 3, Perkara 12(2), Perkara 121(1A) dan Sumpah Jawatan Yang di-Pertuan Agong di bawah Perkara 37(1) Perlembagaan Persekutuan",Neutral
Apabila sudah berdaftar nanti ia akan memudahkan pengurusan PDK untuk melatih orang kurang upaya (OKU) di dalam komuniti setempat,Positive
"Saya telah bincang dengan Perdana Menteri dan beliau bersetuju untuk membawa lebih ramai pihak-pihak berkepentingan seperti NGO-NGO, pengamal undang-undang, ahli akademik dan juga ahli-ahli Parlimen dari kedua-dua belah pihak",Positive
Kita percaya dengan adanya penglibatan pelbagai pihak dapat membantu ke arah penggubalan undang-undang yang terbaik,Positive
Saya tidak mahu anggota yang dijemput ke jawatankuasa ini dalam cakap lain luar cakap lain,Neutral
Saya juga tidak mahu jemput mereka yang belum lagi bermesyurat sudah tuduh yang bukan-bukan,Neutral
Namun sebagai kerajaan yang bertanggungjawab dan keterbukaan Perdana Menteri hari ini pandangan semua pihak dianggap bermakna dalam penggubalan sesuatu undang-undang,Positive
Bagus untuk generasi sekarang kerana kemudahan Internet sudah jadi keperluan,Positive
"Kalau dibuka pasar raya di sini, dapat beri peluang anak-anak muda bekerja sebab pada masa ini, ramai yang bekerja di Bentong atau Raub",Positive
Mereka juga boleh tambah pendapatan jika R&R (hentian Rehat dan Rawat) dibuka di sini kerana ia (Bilut) jalan utama ke Raub,Positive
Saya mengalu-alukan pembangunan di sini dan harap kemudahan yang kerajaan beri dapat digunakan sebaik mungkin,Positive
Saya harap ada pembangunan dari segi rumah untuk anak-anak Felda di sini,Positive
"Zaman sudah moden, jadi, kalau ada rumah batu lebih selesa",Positive
Nampaklah penduduk luar bandar semakin maju,Positive
"Biasanya, syarikat penyedia perkhidmatan berkaitan kewangan meletakkan Malaysia di kedudukan 'AA",Positive
"Maknanya, iklim pelaburan Malaysia amat baik termasuklah dalam sektor tenaga",Positive
Kita juga mempunyai rekod yang baik dalam pengurusan dengan menggunakan kepakaran tempatan,Positive
"Prestasi baik itu membolehkan kerajaan masih mampu mengekalkan tarif elektrik pada 38.53 sen setiap satu kilowatt sejam (kWj) bagi tempoh tiga tahun lagi, menyamai kadar yang dilaksanakan sejak Januari 2014",Positive
Mobile Apps ini sudah hampir siap dan kita jangka ia dilancarkan pada Mac depan bagi memudahkan rakyat mendapatkan maklumat berkenaan pasar tani di seluruh negara,Positive
"Di dalam aplikasi ini rakyat boleh mencari lokasi pasar tani di kawasan mereka, waktu operasi, harga semasa barangan serta mereka boleh memberi pandangan atau komen berkenaan pasar tani terlibat,",Positive
Kadang-kala pasar tani boleh dijadikan destinasi persinggahan bersama keluarga dan kerana itu saya bukan sekadar mahu pasar tani berada dalam keadaan bersih dan tersusun tapi juga mempunyai kepelbagaian produk,Positive
"Selain dari bangunan tertentu yang menjadi mercu tanda, pasar tani juga boleh dijadikan mercu tanda sesuatu lokasi,",Positive
Kita akan laksanakan pertandingan 10 pasar tani terbaik di peringkat negeri dahulu dan kemudian akan dibawa ke peringkat kebangsaan,Positive
"Rakyat juga mungkin akan menjadi juri pertandingan ini melalui Mobile Apps yang kita akan lancarkan nanti,",Positive
Pembinaan pasar tani kekal ini melibatkan kos sebanyak RM3.8 juta dan selepas ini peniaga pasar tani boleh berniaga dengan selesa di bawah bangunan kekal dan bukan lagi di bawah khemah,Positive
"Kecuali jika ada persempadanan semula, maka akan ada perubahan di tempat (sekolah) lain",Neutral
Tetapi perkara ini masih awal untuk dibincangkan,Neutral
Saya bekerja siang malam dan jadual saya padat setiap hari dengan pelbagai program,Neutral
Sudah  tentu bakal calon akan mengambil waktu ini untuk berjumpa dengan seramai mungkin pengundi mereka untuk mendapatkan sokongan,Positive
Masih ada dalam kalangan rakyat Malaysia yang menganggap kanser adalah suatu hukuman mati serta takut menjalani pemeriksaan atau saringan dan menyatakan ‘lebih baik tidak tahu’,Negative
Ini tidak seharusnya berlaku,Negative
Pencegahan adalah lebih baik daripada merawat bagi penyakit kanser,Positive
"Sehubungan itu, KKM menyediakan perkhidmatan saringan kanser serviks dan saringan kanser payu dara secara percuma di fasitili-fasiliti KKM di seluruh negara",Positive
"Kini, KKM menyediakan perkhidmatan saringan kanser kolorektal bagi mengesan kanser ini pada peringkat awal",Positive
"Perkhidmatan saringan kanser-kanser tersebut turut disediakan oleh pihak swasta dan NGO (badan bukan kerajaan) dengan kadar bayaran tertentu,",Positive
Sistem pendidikan kita terbuka,Positive
"adi, apa sahaja kerjasama yang kita rasa patut dilakukan oleh senat universiti kerana selaras dengan kehendak industri negara, kita amat galakkan",Positive
"Apa sahaja bentuk kerjasama yang memberi impak positif kepada IPT di negara ini, pihak kementerian akan sentiasa memberi sokongan dan galakan kerana ia merupakan peluang keemasan yang perlu digarap oleh semua pelajar dan tenaga pengajar",Positive
Sebelum ini saya selalu berkunjung ke kedai KR1M untuk membeli barangan asas dan keperluan harian kerana ia lebih murah walaupun kadangkala kita dapati ia tidak berjenama,Positive
"Jadi apabila kerajaan wujudkan semula KR1M 2.0 tetapi dengan pembaharuan yang lebih baik iaitu menawarkan barangan berjenama dengan harga yang murah berbanding kedai lain ia merupakan satu hadiah kepada kami sekali gus menunjukkan kerajaan prihatin dengan nasib rakyat,",Positive
"Kalau dapat (beli) harga yang murah, rakyat terutamanya di kawasan luar bandar tidak akan terbeban dengan kenaikan harga barangan pada masa kini",Positive
"Lebih-lebih lagi tidak lama lagi sambutan Tahun Baharu Cina, bolehlah kami dapat barang murah sebagai persiapan meraikannya",Positive
"Sebelum ini memang seronok dapat beli harga barang yang murah tetapi kualitinya agak rendah, namun apabila kerajaan mengumumkan kali ini barangan yang berjenama pula yang akan dijual dengan harga murah, ia merupakan satu perkhabaran yang  baik",Positive
Kita semua harus bersyukur kerana kerajaan sentiasa prihatin dengan situasi semasa dan berusaha melaksanakan pelbagai projek bagi membantu meringankan beban yang ditanggung,Positive
"Kami berpandangan apa yang diputuskan Mahkamah Persekutuan itu disebabkan mahkamah syariah tidak diberi kuasa membuat semakan kehakiman terhadap sebarang keputusan  dibuat  mana-mana jawatankuasa atau institusi di bawah Majlis Agama Islam,",Neutral
Keputusan mengejutkan Mahkamah Persekutuan ini sepatutnya menjadi 'wake-up call' kepada pihak kerajaan negeri dan pihak berkuasa agama negeri untuk segera memperkemaskan undang-undang syariah masing-masing,Positive
Kita mahu memastikan semua peringkat masyarakat menikmati kemudahan yang lebih selesa,Positive
Jadi saya akan luluskan permintaan berkenaan,Positive
"Mereka menerima kopi daripada orang yang tidak dikenali dan mempunyai simptom yang sama, nampaknya  semacam ada sindiket",Negative
"Jadi, sehingga kami menyelesaikan siasatan, kami menasihati orang ramai supaya berhati-hati",Positive
"Sedangkan Agensi Tenaga Atom Antarabangsa (IAEA) telah sahkan ia selamat dan selepas habis pilihan raya, iaitu lima tahun, isu itu senyap dan lesu sama sekali kerana ia hanya digunakan untuk tipu kita",Negative
Kita perlukan kerajaan yang kuat,Positive
"Bila kerajaan kita kuat, baru kita boleh meneruskan usaha membantu rakyat",Positive
Kita boleh beri kata dua kepada sesiapa yang tidak menghormati kita,Neutral
"Kadang-kala ada salah faham seolah-olah apabila kita wujudkan undang-undang baharu ini, kita akan menggunakannya demi kepentingan politik semata-mata, itu tidak benar sama sekali",Positive
Soal berita palsu ini bukan hanya merisaukan mereka daripada parti pemerintah tetapi juga mereka daripada parti pembangkang dan rakyat biasa,Negative
Kita harus sama-sama menentukan agar berita palsu ini dapat kita atasi,Positive
"Kita boleh lihat sekarang di media sosial, parti pembangkang dan pemimpinnya bebas untuk memberi pandangan dan pendapat, tidak ada sekatan pun",Negative
"Buat permulaan KR1M 2.0 akan menawarkan empat barang keperluan asas dengan harga rendah iaitu gula, minyak masak, tepung dan beras",Positive
Selain itu KR1M 2.0 juga menawarkan harga yang kompetitif bagi 50 stock keeping unit (SKU)  produk berjenama dengan menggunakan bungkusan yang sama bagi produk berkenaan,Positive
ni bermakna melalui KR1M 2.0 semua peruncit yang menjalankan kerjasama memasarkan produk KR1M 2.0 akan menggunakan jenama asal produk seperti Nestle dan sebagainya dan tidak lagi menggunakan jenama selain jenama asal itu,Positive
"Berdasarkan dapatan tersebut, pilihan raya baru-baru ini telah melihat trend global ke arah lebih ramai Ahli Parlimen muda berusia bawah 45 tahun",Neutral
"""Kuota belia, usia kelayakan yang lebih rendah, perwakilan berkadar dan parlimen inklusif adalah semua faktor yang dapat meningkatkan bilangan Ahli Parlimen muda,",Neutral
Kerajaan hari ini terus menggalakkan inisiatif dalam memperkasakan belia ke arah kepimpinan untuk memastikan masa depan yang lebih baik yang dapat memenuhi perkembangan ekonomi yang pesat serta masalah pencemaran alam sekitar,Positive
Pelancaran KR1M 2.0 di TMG Temerloh menandakan bahawa usaha untuk mengkaji semula dan melaksanakan penambah baikkan pada konsep KR1M telah berjaya dilaksanakan,Positive
Saya baca kenyataan Tun bahawa menteri kabinet wanita dalam zaman Datuk Seri Najib tidak mempunyai portfolio penting sebab tidak wujud kementerian yang lebih relevan,Negative
Saya agak terkilan dengan kenyataan beliau kerana setakat ini ada tiga wanita di kabinet,Negative
Bila jadi menteri kabinet tak kisah apa-apa kementerian atau Jabatan Perdana Menteri yang penting kita jalan dan laksanakan kerja yang sama dengan menteri-menteri lain,Positive
"Saya lihat Datuk Seri Najib, Perdana Menteri yang sangat peka dengan isu wanita",Positive
"Contohnya terhadap isu wanita dan keluarga antaranya melalui kewujudan akta jenayah seksual kanak-kanak, mahkamah jenayah seksual khas yang diwujudkan untuk beri fokus isu wanita dan kanak-kanak",Positive
"Bagi saya ini adalah kenyataan yang tidak gentelman,",Negative
"Kalau nak buat anggaran BN akan kalah, bagi saya tunggulah pilihanraya nanti",Positive
"Apabila menjelang pilihan raya umum ke-14 (PRU), kita akan menyaksikan lebih banyak berita palsu dan fitnah disebarkan oleh pembangkang bagi mengelirukan rakyat dan menimbulkan kebencian terhadap kerajaan",Negative
"Untuk pengetahuan, pada PRU ke-13 yang lepas, SPR telah mengundang pemerhati pilihan raya antarabangsa daripada beberapa negara",Positive
"Pada PRU14 ini juga, SPR akan mengundang pemerhati-pemerhati pilihan raya untuk meninjau ketelusan proses pilihan raya",Positive
"Mereka ini terdiri daripada pemerhati tempatan dan juga luar negara,",Neutral
Sikap pihak tertentu yang mempertikaikan ketelusan sistem pilihan raya menjelang PRU ke-14 dianggap satu usaha propaganda yang cuba mengelirukan rakyat dan pengundi,Negative
SPR akan hebahkan nama wakil/ejen yang bertugas pada hari tersebut supaya rakyat tahu bahawa proses pilihan raya berlaku dengan telus dan adil,Positive
"Dengan kehadiran ejen-ejen calon sebagai pihak ketiga, ia merupakan bukti bahawa SPR tidak menafikan hak pemerhati untuk turut serta dalam proses pilihan raya",Positive
Parti-parti politik tidak wajar berasa bimbang dengan ketelusan proses pilihan raya sedia ada yang diamalkan di negara ini,Positive
"Sekiranya ada pelajar bercadang menyambung pengajian di luar negara seperti di Timur Tengah, ia akan memudahkan proses selanjutnya",Positive
Pelajar perlu rebut peluang ada dan NGO Antarabangsa akan mempertimbangkan menaja mereka yang berjaya,Positive
Sekolah agama dan maahad tahfiz yang belum mendaftar harus segera berbuat demikian,Positive
Biasanya bantuan disalurkan kepada sekolah berdaftar,Positive
Pendaftaran dengan kerajaan penting supaya sekolah sentiasa dapat peraturan tatacara terkini kerajaan dari banyak aspek,Positive
Ia juga menjamin sekolah itu kekal relevan,Positive
"Salah satu faktor sekolah ditutup adalah kerana sistem pengurusan lemah dan kekurangan penajaan,",Negative
"Bila harga minyak jatuh, Arab Saudi (antara) negara pengeluar minyak (utama) pun yang sebelum ini kerap menderma kepada negara-negara Islam terpaksa meminjam kepada bank dunia sebanyak AS$10 bilion kerana kesan kejatuhan itu",Negative
Arab Saudi pun hairan dengan Malaysia kerana negara kita ia lihat seperti tiada kesan walaupun kita salah sebuah negara yang turut bergantung kepada sumber petroleum,Positive
Ini kerana perancangan yang telah kerajaan buat bagi mengurangkan impak terhadap rakyat,Positive
Sebab Arab Saudi dan UAE turut melaksanakan GST,Neutral
Selain itu mereka juga turut melaksanakan bantuan tunai seperti BR1M (Bantuan Rakyat 1Malaysia) yang dibuat Barisan Nasional (BN),Positive
"Kita memang tahu RM42 bilion itu hutang 1MDB, tapi jika ia hutang, mesti ada aset yang akan ditunjukkan kepada rakyat",Neutral
"Isunya ialah kerajaan perlu tunjuk semua aset tersebut, sama ada adakah ia bersamaan dengan hutang RM42 bilion itu",Neutral
Jabatan Kehakiman (DOJ) Amerika Syarikat sebelum ini juga turut mendakwa pelbagai aset mewah dibeli menggunakan wang dicuri daripada 1MDB berjumlah AS$540 juta,Negative
Kita telah membuat lawatan dan pemeriksaan ke kilang tersebut sejurus kejadian yang menimpa mangsa dilaporkan,Positive
"Oleh itu, siasatan perlu diteliti di setiap sudut",Neutral
"Ironinya, penyebar berita palsu terbesar hari ini tidak lain tidak bukan adalah beliau sendiri",Neutral
Orang pertama yang sepatutnya disiasat kerana menyebarkan ‘berita palsu’ paling dahsyat dalam negara ini ialah perdana menteri yang mendakwa RM42 bilion hutang 1MDB tidak hilang,Negative
"Bagaimanapun, dalam kes 1MDB, di mana RM42 bilion atau selebihnya tidak diketahui",Negative
"Malah, jika Najib bercakap benar, soalan yang perlu ditanya ialah kenapa Kabinet mengklasifikasikan Laporan Ketua Audit Negara mengenai 1MDB di bawah Akta Rahsia Rasmi?",Neutral
"Ini bermakna, 1MDB tidak mempunyai penyata kewangan beraudit yang sempurna selama enam tahun lalu",Negative
"Jadi itulah sebab saya ingin jadikan tahun ini tahun teristimewa dan saya akan bekerja lebih kuat, malah timbalan saya pun akan kerja lebih gigih lagi",Positive
"Saya berharap tuan puan dapat tolong, mudah-mudahan kita dapat jadikan Malaysia semakin indah dan lagi hebat serta lagi baik",Positive
"Justeru, kita perlu bekerjasama dalam satu keluarga dan satu pasukan, Insya-Allah apa yang diharap akan menjadi kenyataan",Positive
"Sebagai penjawat awam, tuan puan adalah tulang belakang kerajaan dan segala yang kita (kerajaan) harapkan untuk membantu kebajikan rakyat serta membangunkan negara",Positive
Cita-cita besar yang dirancang untuk Malaysia tidak mungkin menjadi kenyataan jika tidak ada dokongan dan sokongan sepenuhnya,Positive
"Saya amat berharap spekulasi, andaian yang bukan-bukan tidak dibuat berhubung perkara yang amat sensitif ini",Positive
Saya sudah mengarahkan Jabatan Siasatan Jenayah (JSJ) serta semua elemen dalam polis untuk mengesan lelaki terbabit seperti mana arahan mahkamah pada 2014,Positive
"Inilah sentimen yang dapat kita lihat dan tahun ini, kita akan laksanakan Bajet 2018, yang bersifat inklusif, ada sesuatu untuk semua dalam bajet",Positive
Kita akan salurkan bantuan seberapa segera terhadap mangsa banjir setelah mendapatkan maklumat lengkap,Positive
Yayasan akan membantu menyediakan dana dan keperluan,Positive
Masalah sekolah yang daif memang tanggungjawab kerajaan tetapi kami komited membantu melakukan pembaikan,Positive
Ini adalah perkara asas yang kami boleh bantu bagi memastikan sekolah menjadi tempat yang selamat,Positive
"Malah, saya cabar Setiausaha Politik kepada Menteri Besar, Mat Shuhaimi Shafiei dan Ahli Dewan Undangan Negeri (ADUN) Seri Andalas, Dr Xavier Jayakumar untuk menyaman saya",Neutral
Kenapa hendak takutkan mereka (pemimpin PKR),Negative
Saya ada cukup bukti dan saya akan terus membongkar kegiatan rasuah serta salah guna kuasa pemimpin PKR Selangor,Positive
"Bila ugut mahu saman terhadap pihak yang membongkar salah laku mereka, sudah tentu pihak yang akan disaman ini berfikir dua kali dan akhirnya berhenti",Positive
"Penubuhan MRM secara tidak langsung mewujudkan kepercayaan dalam kalangan artis yang selama ini menjadi mangsa 'kecurian' atau ketirisan dalam kutipan royalti, menyebabkan mereka rasa tidak dihargai.",Positive
Hal ini selaras dengan pendekatan wasatiyyah dalam Islam yang sudah menjadi dasar kerajaan,Positive
"Justeru, semangat kebersamaan dalam perkara ini perlu difahami secara bijaksana dan berhikmah oleh semua pihak",Positive
Ia bagi mengekalkan perpaduan dalam kalangan masyarakat berbilang kaum dan agama di negara ini,Positive
"Kita akui selain rawatan sedia ada, rawatan Islam secara spiritual dapat membantu penagih pulih sepenuhnya",Positive
"Justeru, kita berharap lebih banyak pusat rawatan seperti ini diwujudkan untuk membantu.",Positive
"Pada masa sama, kita berharap universiti yang ada kepakaran seperti kaunseling dan psikologi, bekerjasama dengan pusat ini supaya pendekatan rawatan serta pemulihan secara saintifik dan spiritual bergerak seiring",Positive
Kita juga menawarkan pusat rawatan ini berdaftar dengan AADK untuk pemantauan dan bantuan kewangan bagi menjalankan program bersesuaian,Positive
CRCC tidak memberi kelulusan atau tidak tahu kenapa kerajaan Pulau Pinang menganggap syarikat ini sebagai pemegang saham bagi projek SPV ini,Neutral
"Syarikat itu berkata, mereka hanya menandatangani 'pengakuan komitmen' sebagai lampiran kepada permulaan perjanjian projek itu, bahawa mereka akan melaksanakan projek itu dengan terbaik sekiranya diberi mana-mana bahagian projek oleh SPV,",Neutral
CRCC juga memberi jaminan bahawa keunikan terowong Pulau Pinang dan tiga projek jalan tidak boleh digunakan untuk mengukur prestasi mereka,Neutral
CRCC juga komited terhadap apa juga projek semasa atau masa depan mengikut jadual dan anggaran yang dipersetujui,Positive
"Rumusan awal yang dapat dibuat setakat ini adalah kerana unsur sabotaj, namun kita akan melakukan siastan menyeluruh sama ada pemilik kilang mempunyai musuh dalam perniagaan atau sebaliknya",Negative
"Sebenarnya, dalam dua tiga tahun ini, kita memang ada buat pemantauan, pegawai Kementerian Kesihatan pergi membeli cecair berkenaan dan membuat ujian di makmal",Neutral
"Malah, ada peniaga yang lebih berani melabel kandungan atau peratus nikotin dalam cecair vape tertentu, kemudian dilekatkan pada botol cecair berkenaan",Negative
"Kita hanya benarkan jual cecair vape yang tiada nikotin, yang ada nikotin jelas menyalahi undang-undang",Neutral
Saya harap semua pengusaha vape ikut peraturan dan undang-undang bagi mengelak tindakan diambil terhadap mereka,Positive
"Dalam hal ini juga, peranan keluarga amat penting dalam memastikan kanak-kanak berkenaan tidak terdedah atau terjebak dengan perbuatan atau perilaku negatif",Positive
"Namun jika didapati keluarga atau waris tidak dapat membantu, maka tindakan intervensi itu adalah penting bagi kita",Negative
"Selain itu, kita juga mengharapkan sistem sokongan sosial terutama dari masyarakat secara keseluruhan bagi memastikan isu pengabaian dan penyalahgunaan dadah di kalangan kanak-kanak dapat ditangani",Positive
Kita tidak mampu untuk bergerak sendirian kerana kita memerlukan sokongan masyarakat setempat bagi memastikan isu seperti ini dapat ditangani,Positive
"Kita melihat ini adalah cadangan baik kerana berdasarkan prosedur kita juga, kanak-kanak itu boleh ditempatkan di setiap institusi kita berdasarkan perintah mahkamah yang diberikan namun ini adalah jalan akhir kepada penyelesaian berkenaan",Positive
Kebiasaannya orang akan berjumpa ustaz atau tokoh agama untuk mendapatkan air penawar sebagai ikhtiar melembut atau menerangkan hati seseorang,Neutral
Hakikatnya keberkesanan air itu adalah izin Allah SWT dan janganlah pula kita terlalu bergantung kepada penggunaannya,Neutral
Ibu bapa juga perlu muhasabah dan memperbaiki diri kerana mungkin ada kesilapan sendiri yang menyebabkan anak-anak bermasalah,Positive
"Jika gagal berbuat demikian, Kastam akan ketinggalan dan berada jauh di belakang golongan peniaga yang rakus mengaut keuntungan dan mengelak cukai",Negative
"Dengan kemahiran dan kepantasan teknologi, mereka akan sentiasa jauh di hadapan pasukan penguatkuasa bagi meraih untung besar dan cepat, termasuk membelakangkan segala undang-undang dan peraturan",Negative
"Oleh itu, Kastam juga perlu berubah dan mahir menggunakan teknologi yang sama bagi menyaingi mereka",Positive
Ini sahaja cara yang dapat menyelamatkan sebahagian besar hasil negara,Positive
"Ia akan melihat keperluan di Pusat Kastam, Imigresen, Kuarantin dan Keselamatan (ICQs) negeri ini yang perlu dinaik taraf bukan sahaja dari segi fizikal, malah prasarana teknologi",Positive
Ini bagi membolehkan petugas sempadan termasuk pegawai kastam bertugas dalam suasana kondusif dan cekap,Positive
Kita tidak boleh ambil sebarang tindakan dan buat kesimpulan selagi laporan tepat belum ada kerana tidak mahu berlaku penganiayaan,Neutral
Pelbagai faktor perlu diambil kira termasuk unsur sabotaj kerana persaingan dalam perniagaan dan sebagainya,Neutral
AGM yang diadakan tidak mengikut perlembagaan,Negative
"Sepatutnya setiap cawangan dan bahagian bermesyuarat serta mengadakan pemilihan wakil ke AGM tetapi apa yang kami dapat tahu, setiap bahagian memilih lapan wakil daripada kepemimpinan tertinggi untuk ke AGM berkenaan",Neutral
Masih ramai orang muda berkaliber dalam PH dan Dr Mahathir perlu memberi laluan kepada mereka,Positive
"Tidak semestinya menjadi Perdana Menteri selama 22 tahun, beliau lebih hebat daripada orang lain",Neutral
