text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
Ingat lagi tak tweet aku tentang jualan mak aku? Alhamdullilah dapat sambutan daripada kawan kawan twitter. Thank you semuanya! Masih boleh lagi nak order untuk esok. SUNGAI PETANI memang digalakkan! Yang jauh nak minta aku sedekahkan pun boleh no problem. Nak minta RT boleh? https://t.co/XDCXLFEEPD	66723	Positive	29	1782	2022-01-23T13:49:34.906330Z	2022-01-23T13:49:34.906342Z	3.438
Terkejut rendang kerbau	66721	Neutral	29	1780	2022-01-23T13:49:29.318501Z	2022-01-23T13:49:29.318513Z	3.496
Untuk bini mahal pun takpe. Tapi untuk dia.. Yang mur mur je dia ambik. Baju keje pun tshirt berapa inggit je haa https://t.co/xur7mBBxq6	66720	Positive	29	1779	2022-01-23T13:49:25.452642Z	2022-01-23T13:49:25.452656Z	5.941
Hari ini kami menerima beberapa kes yang perlu diselesaikan segera &amp; mereka semua berada di luar Selangor &amp; KL serta bukan di kawasan yang ada team kami. Terima kasih kepada runner yang sudi bantu agihkan #WeListenPack. Semoga bantuan kecil ini dapat meringankan beban mereka https://t.co/ngPB2wYpsd	66719	Neutral	29	1778	2022-01-23T13:49:19.117916Z	2022-01-23T13:49:19.117930Z	4.403
@AfiqThaqif Jeng palo	66717	Negative	29	1776	2022-01-23T13:49:12.620821Z	2022-01-23T13:49:12.620834Z	2.357
@HilmiHamir @cazzrah @syefrilhzm Marilaaa malam ni pastu conjuring	66716	Neutral	29	1775	2022-01-23T13:49:09.872654Z	2022-01-23T13:49:09.872673Z	3.12
Selamat berakhir pekan, #RakanModa. Tetap patuhi prokes di mana pun anda berada	66715	Negative	29	1774	2022-01-23T13:49:06.367556Z	2022-01-23T13:49:06.367575Z	3.818
Ahli Parlimen Permatang Pauh, YB Nurul Izzah menggesa kedua-dua kerajaan negeri &amp; pusat untuk membatalkan Projek Tambakan Laut Selatan P. Pinang Nyatakan projek ini lebih tertumpu kepada penjualan nilai hartanah spekulatif &amp; meminggirkan kepentingan alam sekitar https://t.co/Dj7jh4VXLN	66714	Neutral	29	1773	2022-01-23T13:49:02.144492Z	2022-01-23T13:49:02.144506Z	1.919
Thailand punya 2nd day sampai separuh juta dos, guys. Hmmm.	66713	Positive	29	1772	2022-01-23T13:48:59.869850Z	2022-01-23T13:48:59.869863Z	2.297
@beruangsepet Cumburu abe beruang ni sho kiyut	66712	Neutral	29	1771	2022-01-23T13:48:57.203958Z	2022-01-23T13:48:57.203971Z	5.807
#HEBAHAN Ikuti pengumuman Pakej #KitaSelangor 2.0 oleh Dato Menteri Besar, Dato Seri @AmirudinShari secara langs https://t.co/jLuvsiflIx	66711	Neutral	29	1770	2022-01-23T13:48:51.037661Z	2022-01-23T13:48:51.037668Z	2.741
"""Mengapa perlu saya cemburu dengan Selangor? Saya ada 4 stadium, awak tiada satu pun."" - TMJ @HRHJohorII @selangorfc @OfficialJohor @Selangorfans2 https://t.co/PBrqqjccdL"	66710	Neutral	29	1769	2022-01-23T13:48:47.959200Z	2022-01-23T13:48:47.959208Z	5.547
@acel1909 K baru tgk video tuh	66704	Neutral	29	1763	2022-01-23T13:48:28.721942Z	2022-01-23T13:48:28.721955Z	2.55
Tapak Tngn gatal semacam ada yang nk hulur duit ke cmne ni	66702	Positive	29	1761	2022-01-23T13:48:23.736849Z	2022-01-23T13:48:23.736869Z	2.008
@Gilang_Mahesa Klo sebenarnya usul agar tema khotbah itu tiap 2 pekan sekali atau sebulan sekali adalah sosialisasi https://t.co/Ea20dAIOcM	66701	Neutral	29	1760	2022-01-23T13:48:21.355812Z	2022-01-23T13:48:21.355830Z	4.024
@mysrhzamri Yeeeeeee. Sakit hati pulak tgk part tu haha	66700	Negative	29	1759	2022-01-23T13:48:16.889485Z	2022-01-23T13:48:16.889500Z	1.893
@L_MarshaJKT48 kami siapa kamu seperti jeli	66696	Negative	29	1755	2022-01-23T13:48:07.441800Z	2022-01-23T13:48:07.441815Z	3.099
alhamdulillah!! https://t.co/9SZuhmw18O	66695	Positive	29	1754	2022-01-23T13:48:03.961229Z	2022-01-23T13:48:03.961244Z	1.444
"I cried teruk gila semalam dekat husband, bila orang dh mula tanya. ""Tak lekat lagi ka?"" ""Laa, ingatkan mengandung https://t.co/w12xoXwUzk"	66692	Positive	29	1751	2022-01-23T13:47:58.899576Z	2022-01-23T13:47:58.899588Z	4.493
setiap pekerjaan ada kesinambungannya	66690	Positive	29	1749	2022-01-23T13:47:51.970044Z	2022-01-23T13:47:51.970056Z	2.344
1927 - 1950an - Khidmat kereta lembu digunakan oleh JPSM utk membawa anak pokok &amp; peralatan menanam bagi penanaman pokok di HS Bkt Lagong (Sekarang FRIM) &amp; HS Kanching Rawang. Kereta Lembu mula diperkenalkan sewaktu zaman Kesultanan Melayu Melaka abad ke-15 oleh saudagar2 India. https://t.co/oLJMvFqMqd	66689	Positive	29	1748	2022-01-23T13:47:49.230790Z	2022-01-23T13:47:49.230804Z	1.703
@amofficialmy Well maybe dia ada share dgn showroom d Penang....sebab 2 dia pergi sana....duit berkepuk2 x habis...c his level.....	66685	Positive	29	1744	2022-01-23T13:47:40.297805Z	2022-01-23T13:47:40.297817Z	3.495
Sabah! Sawarak! Negeri sembilan!	66684	Neutral	29	1743	2022-01-23T13:47:36.363057Z	2022-01-23T13:47:36.363069Z	5.036
jangan sedih sedih okies /	66683	Positive	29	1742	2022-01-23T13:47:30.923300Z	2022-01-23T13:47:30.923314Z	2.47
Isteri YB ADUN Gaal, Puan Yusmawati Binti Yusoff bersama isteri Penghulu Mukim Batu Berendam dan Pengerusi Balaisah Gong Genor serta Muslimat Batu Berendam menyampaikan bungkusan pek bantuan PKP kepada warga asnaf dan wakil di Mukim Batu Berendam. #SKC #N32 #GaalPrihatin https://t.co/l6YoV4rKnj	66682	Neutral	29	1741	2022-01-23T13:47:28.058807Z	2022-01-23T13:47:28.058826Z	3.017
@JKJAVMY PPV Dewan Serbaguna Jalan Genuang Segamat, penerima dose pertama sabar beratur di bawah cahaya matahari https://t.co/GzKjJ5LJzR	66681	Positive	29	1740	2022-01-23T13:47:24.665439Z	2022-01-23T13:47:24.665453Z	1.799
Halus dia punya racun #morphingkarambit https://t.co/aSxCt6Diio	66679	Negative	29	1738	2022-01-23T13:47:20.833812Z	2022-01-23T13:47:20.833824Z	2.888
Lagu ini masih menempati posisi #1 di chart peppermnd Playlist pekan ini. To the point dimana kalau ada lagu ini d https://t.co/0HCkYDtXuZ	66678	Neutral	29	1737	2022-01-23T13:47:17.584585Z	2022-01-23T13:47:17.584598Z	2.575
Yes!!! Betul sgtgirls out there, takyah nk jd ala2 bodoh sbb nk jodoh. Just be yourself. Lelaki sejati mencari wan https://t.co/XBgK9pGSjM	66677	Positive	29	1736	2022-01-23T13:47:14.633944Z	2022-01-23T13:47:14.633955Z	4.867
@SaifulEnver saya ok je awak	66676	Positive	29	1735	2022-01-23T13:47:09.372853Z	2022-01-23T13:47:09.372870Z	1.909
Bila terengganu nak dapat vaccine ni ya?	66675	Positive	29	1734	2022-01-23T13:47:07.065989Z	2022-01-23T13:47:07.066000Z	2.09
Tolongggg. Budak2 ni sembang. X igt dunia. Aku nk angkat bontot pun cerita x habis lg.	66674	Positive	29	1733	2022-01-23T13:47:04.574062Z	2022-01-23T13:47:04.574079Z	3.644
Astaghfirullah. Busy sampai lupa potong kuku	66673	Positive	29	1732	2022-01-23T13:47:00.554830Z	2022-01-23T13:47:00.554843Z	3.084
Lain macam perasaan dok msg dengan pengetua UKM ni Macam tanya report kad anak.	66672	Positive	29	1731	2022-01-23T13:46:57.079381Z	2022-01-23T13:46:57.079391Z	7.815
Yela kita dah takde ibu	66668	Negative	29	1727	2022-01-23T13:46:38.550744Z	2022-01-23T13:46:38.550752Z	3.839
@syzsq Kt johor tkde	66667	Negative	29	1726	2022-01-23T13:46:34.358963Z	2022-01-23T13:46:34.358972Z	3.411
Dapat goodie tak macam di Simpang Renggam di hati? @maszlee	66666	Positive	29	1725	2022-01-23T13:46:30.518179Z	2022-01-23T13:46:30.518196Z	2.041
Epik si nih kapan lagi nampar presiden	66663	Positive	29	1722	2022-01-23T13:46:25.355296Z	2022-01-23T13:46:25.355308Z	1.792
@Nazrulhaique Ehhh aku ingat Mustafa Ali... Sekali Mustafa Centre. Ade staff discount? Nak bli cream rambut untuk my uncle mullet	66662	Positive	29	1721	2022-01-23T13:46:23.181629Z	2022-01-23T13:46:23.181647Z	3.843
kelantan	66661	Negative	29	1720	2022-01-23T13:46:18.944402Z	2022-01-23T13:46:18.944415Z	1.885
Euuww!!	66658	Negative	29	1717	2022-01-23T13:46:13.718685Z	2022-01-23T13:46:13.718702Z	1.846
Make sure malaysia cukup vaccine utk warga malaysia .ameen	66657	Positive	29	1716	2022-01-23T13:46:11.460196Z	2022-01-23T13:46:11.460229Z	2.233
Kesejahteraan akan timbul dari segala lini di papua dibawah kepemimpinan pemerintah saat ini. Semangat Indonesia https://t.co/k0paSAREzk	66655	Positive	29	1714	2022-01-23T13:46:06.112811Z	2022-01-23T13:46:06.112826Z	2.899
Rilek lah	66652	Positive	29	1711	2022-01-23T13:45:05.773440Z	2022-01-23T13:45:05.773464Z	5.229
tidur lambat tp bangun awal	66651	Positive	29	1710	2022-01-23T13:45:00.162068Z	2022-01-23T13:45:00.162081Z	1.948
@qifailins @SaifuddinShafi Sedikit sumbangan daripada saya. Jika cik tinggal di Selangor, emel saya untuk bantuan yang lebih tersusun. azri@mbiselangor.com.my https://t.co/66t17SSB95	66650	Positive	29	1709	2022-01-23T13:44:57.855072Z	2022-01-23T13:44:57.855086Z	3.951
@zafirxhzainxl_ sebenarny tkde rasa kurma pun kan. tekak aku rasa gula merah/melaka.	66647	Positive	29	1706	2022-01-23T13:44:48.901720Z	2022-01-23T13:44:48.901733Z	2.746
Siapa jual tauhu bergedil area shah alam atau setia alam atau klang? Aku nak esok. Datang goreng kat rumah aku sebab aku malas nak goreng dan nak makan panas panas. Ada dapur kat depan rumah aku. Dah siap goreng kau panggil je aku. Hahahaha please!	66645	Positive	29	1704	2022-01-23T13:44:43.768341Z	2022-01-23T13:44:43.768356Z	4.103
Perlis ada 8 org, 4 org dh kena covid tiggal lgi 4 org je la..	66644	Positive	29	1703	2022-01-23T13:44:39.278098Z	2022-01-23T13:44:39.278105Z	2.631
Melalui salah satu distributor kini Gula Puteri Satu Tujuh (PS7), Gula Konsumsi Harian yg Manisnya 7 Kali Gula Pasir biasa, rendah kalori namun tak mengubah rasa, telah Hadir di Gerai Lotte Mart. https://t.co/YlT6YnOVA1	66643	Positive	29	1702	2022-01-23T13:44:36.283726Z	2022-01-23T13:44:36.283741Z	2.437
Tawau patut buat uniqlo	66642	Positive	29	1701	2022-01-23T13:44:33.473929Z	2022-01-23T13:44:33.473943Z	1.809
Benda penting nak buat esok. Check result SPM	66641	Positive	29	1700	2022-01-23T13:44:31.202219Z	2022-01-23T13:44:31.202237Z	2.627
@jengkyyyy Apooo. Biaso je tuu weyhh	66636	Positive	29	1695	2022-01-23T13:44:19.980680Z	2022-01-23T13:44:19.980692Z	2.151
Satu tumbukan ke udara!! Alhamdulillah.	66633	Positive	29	1692	2022-01-23T13:44:13.558269Z	2022-01-23T13:44:13.558293Z	1.561
Baik kelab mahu pun negara,pasukan kegemaran aku masih tak perform dalam 5-10 tahun ni. Terus menyokong jaa	66629	Positive	29	1688	2022-01-23T13:44:03.270473Z	2022-01-23T13:44:03.270482Z	1.805
Yes, kagum tgk parenting skill mak mak lain.. tp sbgai mak aku bangga je dgn anak anak aku. Enjoy every moment dgn https://t.co/HXgdM96gXW	66628	Positive	29	1687	2022-01-23T13:44:01.129805Z	2022-01-23T13:44:01.129826Z	1.663
Aku respect syed saddiq utk apa yg dia buat utk rakyat muar. Tapi keputusan utk terminate LTK sumpah keputusan bodoh.	66627	Positive	29	1686	2022-01-23T13:43:59.086377Z	2022-01-23T13:43:59.086389Z	33.125
Oh. Ada lagu The Toys pulak dalam Con Heartist ni.	66626	Positive	29	1685	2022-01-23T13:43:25.496232Z	2022-01-23T13:43:25.496244Z	2.063
Di sini g ada Mcd... Hahaha... BTS pun g ada... Adanya CTS....	66625	Positive	29	1684	2022-01-23T13:43:23.084256Z	2022-01-23T13:43:23.084272Z	4.401
Tmbh lg https://t.co/kxG1ydZr01	66624	Positive	29	1683	2022-01-23T13:43:18.276098Z	2022-01-23T13:43:18.276114Z	2.703
Tak malu, menipu Umur dah umur keldai	66623	Negative	29	1682	2022-01-23T13:43:15.160812Z	2022-01-23T13:43:15.160825Z	4.292
Kukira takdir ternyata cuman sebatas hadir	66622		29	1681	2022-01-23T13:43:10.453122Z	2022-01-23T13:43:10.453138Z	0.891
@fedtriyahya Terengganu	66621	Positive	29	1680	2022-01-23T13:43:09.139615Z	2022-01-23T13:43:09.139625Z	2.504
Panas betul ye harini sampai berpeluh2 even tk bt pape pun .	66620	Positive	29	1679	2022-01-23T13:43:06.221850Z	2022-01-23T13:43:06.221859Z	4.562
Nafas. Ok kejap aku rasa aku dah faham pasal nafas. Sebab mmg aku akan fail bab nafas masa dah masuk alam tu. .	66618	Positive	29	1677	2022-01-23T13:42:59.296192Z	2022-01-23T13:42:59.296204Z	2.501
Orang cakap cam sedih gila tapi cam for me yg dah banyak tengok cerita sedih org mati semua I think I ada tengok ce https://t.co/n1NX4zxe8F	66617	Positive	29	1676	2022-01-23T13:42:56.394915Z	2022-01-23T13:42:56.394924Z	3.019
@ienhisham Jom kita gemok dan buruk sama2 wak https://t.co/d3yuBzqM7o	66616	Positive	29	1675	2022-01-23T13:42:52.951598Z	2022-01-23T13:42:52.951612Z	10.213
Nk g Melaka sbb nk blk kampung https://t.co/oOugCMOfyL	66615	Positive	29	1674	2022-01-23T13:42:42.326489Z	2022-01-23T13:42:42.326500Z	25.367
MB kedah tu mmg level rempit rupanya	66614	Positive	29	1673	2022-01-23T13:42:16.548550Z	2022-01-23T13:42:16.548564Z	2.421
Ketua Polis Daerah Kota Kinabalu, Asisten Komisioner Mohd Zaidi Abdullah, berkata ketika serbuan dijalankan, semua https://t.co/EpFK4wwFxT	66613	Positive	29	1672	2022-01-23T13:42:13.768599Z	2022-01-23T13:42:13.768612Z	3.295
@eizlansyahhh kedah	66612	Positive	29	1671	2022-01-23T13:42:10.102564Z	2022-01-23T13:42:10.102590Z	1.763
@sifutersipu Yes bro. Beli balik kenangan zaman lampau.	66609	Positive	29	1668	2022-01-23T13:42:02.668725Z	2022-01-23T13:42:02.668738Z	4.11
@nuzul__ Yee. Hang anak tanggang. Lama tak balik pahang	66608	Positive	29	1667	2022-01-23T13:41:58.139444Z	2022-01-23T13:41:58.139457Z	3.072
@fordlynxrs @JKJAVMY Kat sini Bro.. https://t.co/BrGiTEwRvE	66607	Neutral	29	1666	2022-01-23T13:41:54.664497Z	2022-01-23T13:41:54.664506Z	3.91
Jabatan Keselamatan dan Kesihatan Pekerjaan (JKKP) Perak menyita tapak pembinaan kilang pembuatan sarung tangan di https://t.co/GgZsLlSXWj	66606	Positive	29	1665	2022-01-23T13:41:50.317242Z	2022-01-23T13:41:50.317253Z	2.856
Kemasukan SEGERA!!! i-Soho shah alam BILIK SEWA SHAH ALAM - RM560 monthly bilik non sharing - Deposit 1 + 1, boleh bayar ansuran - Tidak dibenarkan membawa masuk lelaki - Fully furnished - Pembersih / kemas ONLY FOR GIRLS Contact:01111336814 (Izzatie) https://t.co/JRjKMGL4EG	66605	Positive	29	1664	2022-01-23T13:41:47.013379Z	2022-01-23T13:41:47.013392Z	6.993
Tak masuk akal delivery charge dia ye.. hantar pakai private jet kot.. padahal dekat Selangor je pun https://t.co/qIeuygp4U5	66604	Positive	29	1663	2022-01-23T13:41:39.640790Z	2022-01-23T13:41:39.640811Z	2.994
@agusedangbosan dasar kamu hater ya?	66603	Negative	29	1662	2022-01-23T13:41:36.257297Z	2022-01-23T13:41:36.257309Z	2.755
ikutkan hati nak spin Kof and so on. but ada benda lg penting. pengorbanan itu penting.	66602	Neutral	29	1661	2022-01-23T13:41:33.127745Z	2022-01-23T13:41:33.127755Z	3.195
@teamkulitayam Sama itu biasa berbeda baru luar biasa;(	66601	Negative	29	1660	2022-01-23T13:41:29.543672Z	2022-01-23T13:41:29.543687Z	4.798
Sultan Selangor terkejut negeri dapat dos vaksin tak seimbang https://t.co/jqhD43iILq	66600	Positive	29	1659	2022-01-23T13:41:24.374589Z	2022-01-23T13:41:24.374601Z	4.647
Ini contoh beragama dengan ilmu, bukan semata semangat. Jangan sekadar ada semangat tapi tanpa ilmu. Contohi para mufti kita seperti SS Dato' Shukri hafizahullah. Boleh dengar kuliah beliau tentang fiqh covid, beliau jawab tuntas. https://t.co/0wt392zSW1	66599	Positive	29	1658	2022-01-23T13:41:19.381211Z	2022-01-23T13:41:19.381227Z	2.421
Mcm mana eh? Ya betul syarikat saya mencuci sofa karpet tilam kusyen kereta etc, but since covid hit Malaysia, kteo https://t.co/6E59LcDoJk	66598	Positive	29	1657	2022-01-23T13:41:16.580734Z	2022-01-23T13:41:16.580757Z	16.015
Apel pagi personil sat lantas polres serdang bedagai https://t.co/6TAa1wojeE	66596	Negative	29	1655	2022-01-23T13:40:47.579513Z	2022-01-23T13:40:47.579533Z	3.886
Lepas kena sound dengan Sultan baru nak gelabah? Rakyat bising, kerajaan negeri bising, pembangkang bising ada kau ambik tau?	66595	Negative	29	1654	2022-01-23T13:40:43.313883Z	2022-01-23T13:40:43.313898Z	6.641
@pijahisthatyou Aok eh. Lari abis dr apa ku expect tek hahaahah lawakk	66594	Positive	29	1653	2022-01-23T13:40:36.289435Z	2022-01-23T13:40:36.289446Z	3.913
Yeyeah... Mendung dah sampai... Semoga terus bawa hujan	66593	Positive	29	1652	2022-01-23T13:40:31.989649Z	2022-01-23T13:40:31.989662Z	4.22
X sabarnya... Esok mlm dh boleh rilek sik tgk kertas2 buku2 gik	66592	Positive	29	1651	2022-01-23T13:40:27.366302Z	2022-01-23T13:40:27.366315Z	2.964
@AINAMIR96 Bukan..kalau letak mmg lah melecur..ambik towel kecik..iron bg panas..lepas tu tuam lah kat perut towel https://t.co/pAw4o5vr5I	66591	Positive	29	1650	2022-01-23T13:40:24.018857Z	2022-01-23T13:40:24.018865Z	4.175
kat post tu da letak location, still tanya. mana location? nak aku buat apa dgn org2 begini	66590	Positive	29	1649	2022-01-23T13:40:19.474601Z	2022-01-23T13:40:19.474614Z	3.409
Hajat nak jog dari subuh tadi ada urgent call text. Haihh	66589	Positive	29	1648	2022-01-23T13:40:15.699782Z	2022-01-23T13:40:15.699790Z	2.867
Belang dok sedor ni week 13 doh, habis doh kut kelas.	66588	Positive	29	1647	2022-01-23T13:40:12.448253Z	2022-01-23T13:40:12.448265Z	2.583
Aku rasa ramai org yg salah faham dgn apa yg prof muhaya nak sampaikan Setinggi mana pon perempuan tapi suami tu t https://t.co/ivZUWWHieS	66587	Positive	29	1646	2022-01-23T13:40:09.457865Z	2022-01-23T13:40:09.457877Z	3.592
Stop telling me to do onlyfans aku nak selfie pun maleh ni pulak nak buat content onlyfans	66586	Negative	29	1645	2022-01-23T13:40:05.445143Z	2022-01-23T13:40:05.445155Z	3.043
Tadi ngantuk, tapi tu tadi la.	66583	Positive	29	1642	2022-01-23T13:39:57.558236Z	2022-01-23T13:39:57.558261Z	2.656
Selalu all out lakonan @qalesyakiss ... Kesian Lijah jadi gila. #ulasanedtv #CukupDeritaItu #selanjutnyadiblogedtv https://t.co/VrY4WHZPSM	66582	Negative	27	1808	2022-01-24T09:13:23.727545Z	2022-01-24T09:13:23.727557Z	4.831
@jajijat Yeeeeee haihhh sebab accident ah hari tu	66581	Neutral	29	1640	2022-01-23T13:39:52.549117Z	2022-01-23T13:39:52.549129Z	4.424
@heoymieng01 @McDonalds @McDMalaysia aloo i ada beberapa do you want?	66580	Neutral	29	1639	2022-01-23T13:39:47.649305Z	2022-01-23T13:39:47.649317Z	3.324
@qishhhhhhhh_ Belum, nanti teman aku belikan	66579		29	1638	2022-01-23T13:39:43.851232Z	2022-01-23T13:39:43.851245Z	1.856
@MegatIzzu Ehh takkannnlahhhhh salahhhh	66578	Positive	29	1637	2022-01-23T13:39:41.609601Z	2022-01-23T13:39:41.609617Z	4.519
Line d rumah aku tok mmg ada mintak terajang sikit	66577	Negative	29	1636	2022-01-23T13:39:36.661074Z	2022-01-23T13:39:36.661085Z	3.256
sedap sbb orang lanje tapi mmg sedap pun https://t.co/j7KOJZAdRH	66576	Positive	29	1635	2022-01-23T13:39:33.034321Z	2022-01-23T13:39:33.034336Z	3.182
Yup betul Mac lalu. Mac tahun 1943 https://t.co/f1ucQNORg1	66574	Positive	29	1633	2022-01-23T13:39:13.331200Z	2022-01-23T13:39:13.331213Z	2.181
Setakat 5 Jun 2021, seramai 90,363 rakyat Selangor telah menyertai Ujian Saringan yg dilaksanakan Kerajaan Negeri. Jumlah ini telah melangkaui sasaran awal iaitu 50,000 individu. Terima kasih pd mereka yg hadir &amp; memberi kerjasama sewaktu proses saringan. #SelangorGempurCOVID19 https://t.co/7KVNtBdTeD	66573	Neutral	29	1632	2022-01-23T13:39:10.787739Z	2022-01-23T13:39:10.787754Z	19.645
Petik mimpi dan semai jadi harapan saat pagi Rangkum doa dan langitkan sepenuh hati Kini, hari yang baru lagi Kesem https://t.co/4wUxWv2EJH	66572	Positive	29	1631	2022-01-23T13:36:09.771997Z	2022-01-23T13:36:09.772010Z	1.907
